danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id;cluster
0.154;0.923;-6.55;0.0867;2.93e-06;0.848;0.431;0.163;151.523;230720;1;0;5Sr2sWiF4R8WsL9EiGxW4f;47
0.322;0.931;-4.253;0.164;8.53e-05;0.818;0.0969;0.392;138.041;244160;4;0;4g73DT2U0A3TGdd8UyQIQB;67
0.334;0.994;-4.1;0.0568;0.000193;0.0551;0.0976;0.205;138.636;207467;3;0;28ILqSCrIeWvU52pyZfsxx;11
0.362;0.974;-4.481;0.105;4.4e-05;0.0149;0.231;0.521;199.999;266015;1;0;4MbJlBkNTEXGJ0sL8U5ABN;46
0.402;0.99;-2.934;0.126;1.85e-05;0.549;0.0749;0.481;82.341;113040;8;0;6egRwYsMJ8DVJQAKOjHWou;8
0.633;0.846;-6.347;0.0337;0.000819;0.00139;0.0762;0.448;89.23;323933;7;1;1PhLYngBKbeDtdmDzCg3Pb;69
0.373;0.952;-3.663;0.141;4.65e-05;0.0164;0.319;0.367;104.998;309960;7;1;02DBrXnHrruEV5SvswEAqA;80
0.432;0.938;-9.707;0.0506;5.65e-06;0.0219;0.0813;0.433;157.553;280280;1;1;56YlD5iUdbWTNyodQj5Zaa;68
0.336;0.969;-5.362;0.0943;1.49e-05;0.00445;0.291;0.247;124.016;239027;6;0;4YwNICywFFs0AYJinq9Uo7;59
0.426;0.95;-7.524;0.1;1.34e-05;0.131;0.78;0.261;93.997;290600;1;1;48cc1MssPXEjp1x91THf2G;62
0.265;0.92;-2.623;0.0558;0.000185;0.0123;0.153;0.408;97.659;228640;10;0;5dTJb5A1w6bYwSjOwY62mo;29
0.417;0.998;-1.973;0.142;0.000131;0.364;0.29;0.167;107.411;359653;0;1;445W7aeIFfMsAVOxi9dvXS;29
0.301;0.978;-3.828;0.0839;0.000843;0.0653;0.0894;0.418;106.133;283202;8;1;3I3YbQDkcjxT07B2peaRjF;29
0.41;0.988;-4.216;0.18;5.79e-06;0.0139;0.31;0.216;90.048;271652;1;0;1Qr1hvhqN05lw6LZcbG3eF;80
0.283;0.937;-7.462;0.116;6.42e-05;0.00722;0.33;0.393;102.401;370400;6;0;0kJVVyz73lZau2zbr4kmIX;80
0.26;0.997;-5.629;0.108;0.000104;0.33;0.338;0.0352;174.952;246227;7;1;3uPYITcnVb9RZ7d8aKMV3r;11
0.487;0.975;-4.974;0.105;7.47e-05;0.0183;0.201;0.526;139.964;202019;11;1;4QrS1lEI8GZVEuVqf3MwXK;61
0.359;0.864;-9.155;0.105;0.0181;0.0139;0.0922;0.341;114.018;401000;1;1;7FE5fPgt4D1vHYwA1T1ahe;29
0.491;0.839;-9.186;0.0897;0.00104;0.0841;0.113;0.271;160.248;172240;6;0;0UvsK2aQdg2bQU4bCGn6fK;37
0.393;0.826;-12.332;0.0517;6.99e-05;0.901;0.0785;0.418;109.345;208800;1;0;38hZCQdkE9eupETmA9adcH;8
0.347;0.802;-5.584;0.0493;0.00012;0.229;0.265;0.145;134.787;215840;6;1;0PVqmGnFNOQmHD1prOk2UI;59
0.262;0.956;-6.743;0.152;0.0278;0.177;0.612;0.355;76.906;357934;8;0;7cSZEgMWIXGDcbFnYdsB6X;80
0.275;0.994;-4.756;0.21;6.56e-05;0.0301;0.407;0.148;176.096;373935;11;1;5qC1Ly7Ec3fVxVbdpsLh7H;59
0.122;0.919;-7.782;0.119;3.12e-06;0.824;0.214;0.334;179.263;287600;0;1;2pjI7phMrTO2KOJCqCkHIU;67
0.456;0.997;-4.385;0.0914;0.000157;0.0724;0.306;0.0776;109.851;122560;10;0;4r7wKbbQPN4hzNWjLM5554;59
0.295;0.925;-5.567;0.136;0.00012;0.000377;0.444;0.234;147.12;208147;11;0;21whloemotjEi7Uy7wV51E;59
0.116;0.963;-4.829;0.133;1.02e-06;0.886;0.0765;0.224;91.439;245461;7;1;0tlw6V9Zp4JlgR0euf8IZm;8
0.474;0.974;-3.715;0.0688;2.26e-06;0.0177;0.499;0.227;105.018;351613;7;0;7f9GwtBThFbtYnxc7X47XE;80
0.371;0.973;-5.303;0.135;0.000641;0.00163;0.0423;0.444;127.721;164333;10;0;3cFnb3Rg9a7Gzqxc5QQ9YZ;61
0.332;0.995;-6.366;0.125;3.52e-05;0.76;0.0762;0.34;95.329;274816;8;1;0bNcU1wxJsgSUnMbmLkzkE;8
0.344;0.955;-10.614;0.0444;5.4e-06;0.111;0.0665;0.352;111.671;203680;1;1;3pKsUMqpVr4ZJ13Mm91Xig;29
0.518;0.858;-6.147;0.0672;0.00563;0.00349;0.0598;0.249;117.897;309973;0;1;2dXsILW8gzkosqleHAvl0v;37
